Input Entity,Entity Type,Resolved Name,InChIKey,InChIKey Link,SMILES,SMILES Link,PubChem CID,PubChem Link,ChEMBL ID,ChEMBL Link,ChemSpider ID,ChemSpider Link,RefSeq,GenBank,GenBank Link,Gene Link,Protein Link,Ensembl,Ensembl Link,UniProt,UniProt Link,CCDS,InterPro,InterPro Link,Validation Issues,KEGG
glucosse,chemical,,WQZGKKKJIJFFOK-GASJEMHNSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/WQZGKKKJIJFFOK-GASJEMHNSA-N,C(C1C(C(C(C(O1)O)O)O)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/5793,5793,https://pubchem.ncbi.nlm.nih.gov/compound/5793,CHEMBL448805,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL448805/,,,,,,,,,,,,,,,"SMILES mismatch: {'C(C1C(C(C(C(O1)O)O)O)O)O', 'O=C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO'}",
adenosne triphoshate,chemical,ADENOSINE TRIPHOSPHATE DISODIUM,ZKHQWZAMYRWXGA-KQYNXXCUSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/ZKHQWZAMYRWXGA-KQYNXXCUSA-N,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N,https://pubchem.ncbi.nlm.nih.gov/compound/5957,5957,https://pubchem.ncbi.nlm.nih.gov/compound/5957,CHEMBL2106579,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL2106579/,,,,,,,,,,,,,,,"SMILES mismatch: {'C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N', 'Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]1O.[Na+].[Na+]'}",
cytossine,chemical,,OPTASPLRGRRNAP-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/OPTASPLRGRRNAP-UHFFFAOYSA-N,C1=C(NC(=O)N=C1)N,https://pubchem.ncbi.nlm.nih.gov/compound/597,597,https://pubchem.ncbi.nlm.nih.gov/compound/597,CHEMBL3559613,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3559613/,,,,,,,,,,,,,,,"SMILES mismatch: {'C1=C(NC(=O)N=C1)N', 'Cc1c2cc[n+](C)cc2c(C)c2c3c([nH]c12)C=CC(=O)[C@@]31O[C@@H]2[C@H](O1)[C@@H](COP(=O)(O)O)O[C@H]2n1ccc(N)nc1=O'}",
ureaa,chemical,UREA,XSQUKJJJFZCRTK-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/XSQUKJJJFZCRTK-UHFFFAOYSA-N,C(=O)(N)N,https://pubchem.ncbi.nlm.nih.gov/compound/1176,1176,https://pubchem.ncbi.nlm.nih.gov/compound/1176,CHEMBL985,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL985/,,,,,,,,,,,,,,,"SMILES mismatch: {'C(=O)(N)N', 'NC(N)=O'}",
lipoprotien,protein,Lipoprotein,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2991357479,,,P0ADC1,https://www.uniprot.org/uniprot/P0ADC1,,G3DSA:3.30.160.150,https://www.ebi.ac.uk/interpro/entry/InterPro/G3DSA:3.30.160.150/,,
sucros,chemical,IRON SUCROSE,CZMRCDWAGMRECN-UGDNZRGBSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/CZMRCDWAGMRECN-UGDNZRGBSA-N,C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/5988,5988,https://pubchem.ncbi.nlm.nih.gov/compound/5988,CHEMBL1200823,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1200823/,,,,,,,,,,,,,,,,
aspratic acid,chemical,ASPARTIC ACID,CKLJMWTZIZZHCS-REOHCLBHSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/CKLJMWTZIZZHCS-REOHCLBHSA-N,C(C(C(=O)O)N)C(=O)O,https://pubchem.ncbi.nlm.nih.gov/compound/5960,5960,https://pubchem.ncbi.nlm.nih.gov/compound/5960,CHEMBL274323,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL274323/,,,,,,,,,,,,,,,"SMILES mismatch: {'C(C(C(=O)O)N)C(=O)O', 'N[C@@H](CC(=O)O)C(=O)O'}",
glycraldehyde,chemical,,MNQZXJOMYWMBOU-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/MNQZXJOMYWMBOU-UHFFFAOYSA-N,C(C(C=O)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/751,751,https://pubchem.ncbi.nlm.nih.gov/compound/751,CHEMBL1232918,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1232918/,,,,,,,,,,,,,,,"SMILES mismatch: {'O=C[C@H](O)COP(=O)(O)O', 'C(C(C=O)O)O'}",
oxaloactetate,chemical,OXALOACETATE,KHPXUQMNIQBQEV-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/KHPXUQMNIQBQEV-UHFFFAOYSA-N,C(C(=O)C(=O)O)C(=O)O,https://pubchem.ncbi.nlm.nih.gov/compound/970,970,https://pubchem.ncbi.nlm.nih.gov/compound/970,CHEMBL1794791,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1794791/,,,,,,,,,,,,,,,"SMILES mismatch: {'O=C(O)CC(=O)C(=O)O', 'C(C(=O)C(=O)O)C(=O)O'}",
pyruvic acidd,chemical,PYRUVIC ACID CALCIUM ISONIAZID,LCTONWCANYUPML-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/LCTONWCANYUPML-UHFFFAOYSA-N,CC(=O)C(=O)O,https://pubchem.ncbi.nlm.nih.gov/compound/1060,1060,https://pubchem.ncbi.nlm.nih.gov/compound/1060,CHEMBL2107174,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL2107174/,,,,,,,,,,,,,,,"SMILES mismatch: {'C/C(=N\\NC(=O)c1ccncc1)C(=O)[O-].C/C(=N\\NC(=O)c1ccncc1)C(=O)[O-].[Ca+2]', 'CC(=O)C(=O)O'}",
