Compound,PubChem_CID,PubChem_InChIKey,PubChem_SMILES,ChEMBL_ID,ChEMBL_SMILES,ChEMBL_InChIKey,KEGG_ID,ChemSpider_ID,ChemSpider_SMILES,ChemSpider_InChIKey,ChemSpider_InChI,ChemSpider_Formula,ChemSpider_Mass
glucosse,,,,,,,,,,,,,
adenosne triphoshate,,,,,,,,,,,,,
cytossine,,,,,,,,,,,,,
ureaa,,,,,,,,,,,,,
lipoprotien,,,,,,,,,,,,,
sucros,,,,CHEMBL253582,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,CZMRCDWAGMRECN-UGDNZRGBSA-N,C00089,,,,,,
aspratic acid,,,,,,,,,,,,,
glycraldehyde,,,,,,,,,,,,,
oxaloactetate,,,,,,,,,,,,,
pyruvic acidd,,,,,,,,,,,,,
laactate,,,,,,,,,,,,,
fructosse-6-phosphate,,,,,,,,,,,,,
nicotnamide,,,,,,,,,,,,,
ribos,,,,CHEMBL221572,NC[C@H]1O[C@H](O[C@H]2[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)[C@@H](O)[C@H](N)C[C@@H]2N)[C@H](N)[C@@H](O)[C@@H]1O,NSKGQURZWSPSBC-VVPCINPTSA-N,C00117,,,,,,
phenyalalanine,,,,,,,,,,,,,
deoxyguanoine,,,,,,,,,,,,,
ascorbbic acid,,,,,,,,,,,,,
malonnate,,,,,,,,,,,,,
citratee,,,,,,,,,,,,,
fumaratte,,,,,,,,,,,,,
aminoacettic acid,,,,,,,,,,,,,
propeonic acid,,,,,,,,,,,,,
carnittine,,,,,,,,,,,,,
phosphoenolpyruate,,,,,,,,,,,,,
ethanollamine,,,,,,,,,,,,,
lysophoatidylcholine,,,,,,,,,,,,,
xanhtine,,,,,,,,,,,,,
uracill,,,,,,,,,,,,,
ornithinee,,,,,,,,,,,,,
putrescne,,,,,,,,,,,,,
sperrmine,,,,,,,,,,,,,
hypoxnthine,,,,,,,,,,,,,
malicc acid,,,,,,,,,,,,,
levulinc acid,,,,,,,,,,,,,
nicotinammide adenine dinucleotid,,,,,,,,,,,,,
tetrahydrobiooterin,,,,,,,,,,,,,
folicc acid,,,,,,,,,,,,,
retinoll,,,,,,,,,,,,,
bilirubinn,,,,,,,,,,,,,
stearicc acid,,,,,,,,,,,,,
palmiticc acid,,,,,,,,,,,,,
linoleicc acid,,,,,,,,,,,,,
arachidonnic acid,,,,,,,,,,,,,
thiaminn,,,,,,,,,,,,,
pyrdoxine,,,,,,,,,,,,,
biottin,,,,,,,,,,,,,
riboflvin,,,,,,,,,,,,,
pantothenic aciid,,,,,,,,,,,,,
ubiquinoon,,,,,,,,,,,,,
cytochrome c oxidse,,,,,,,,,,,,,
melattonin,,,,,,,,,,,,,
gamma-amino butyrate,,,,,,,C00334,,,,,,
glutatmate,,,,,,,,,,,,,
acetaldehyyde,,,,,,,,,,,,,
methanolll,,,,,,,,,,,,,
acettic acid,,,,,,,,,,,,,
propanoic aciid,,,,,,,,,,,,,
butryic acid,,,,,,,,,,,,,
valericc acid,,,,,,,,,,,,,
caproic accid,,,,,,,,,,,,,
succinicc acid,,,,,,,,,,,,,
oxalacettic acid,,,,,,,,,,,,,
acetoaccetic acid,,,,,,,,,,,,,
alpha-linolennic acid,,,,,,,,,,,,,
