entity,gProfiler_status,gProfiler_ID,bioDBnet_status,DAVID_status,category,MetaboAnalyst_status,CTS_status,CTS_ID
SCO1,mapped,ENSG00000133028,failed/no_data,failed/no_data,gene,,,
tumor protien p53,not_mapped,,failed/no_data,failed/no_data,gene,,,
cycln dependent kinase 2,not_mapped,,failed/no_data,failed/no_data,gene,,,
inslin receptor,not_mapped,,failed/no_data,failed/no_data,gene,,,
epidrmal growth factor,not_mapped,,failed/no_data,failed/no_data,gene,,,
myelin basic protien,not_mapped,,failed/no_data,failed/no_data,gene,,,
hemogloben beta,not_mapped,,failed/no_data,failed/no_data,gene,,,
actin gamma 1,not_mapped,,failed/no_data,failed/no_data,gene,,,
glucose transprter 4,not_mapped,,failed/no_data,failed/no_data,gene,,,
transfrrin,not_mapped,,failed/no_data,failed/no_data,gene,,,
interluekin 6,not_mapped,,failed/no_data,failed/no_data,gene,,,
keratin type I cytoskelton 10,not_mapped,,failed/no_data,failed/no_data,gene,,,
fibronectn,not_mapped,,failed/no_data,failed/no_data,gene,,,
tubulin alpha 1a,not_mapped,,failed/no_data,failed/no_data,gene,,,
collgen type I alpha 1,not_mapped,,failed/no_data,failed/no_data,gene,,,
G-protein coupled receptar 30,not_mapped,,failed/no_data,failed/no_data,gene,,,
cytokrin inducible SH2-containing protein,not_mapped,,failed/no_data,failed/no_data,gene,,,
calmodlin,not_mapped,,failed/no_data,failed/no_data,gene,,,
caspase 3,not_mapped,,failed/no_data,failed/no_data,gene,,,
ribosomal protin L5,not_mapped,,failed/no_data,failed/no_data,gene,,,
metlloproteinase 9,not_mapped,,failed/no_data,failed/no_data,gene,,,
tumor necrosis facor,not_mapped,,failed/no_data,failed/no_data,gene,,,
tropomysoin alpha 3,not_mapped,,failed/no_data,failed/no_data,gene,,,
aldhdehyde dehydrogenase 2,not_mapped,,failed/no_data,failed/no_data,gene,,,
neurofilamnt heavy polypeptde,not_mapped,,failed/no_data,failed/no_data,gene,,,
apolipoprtein E,not_mapped,,failed/no_data,failed/no_data,gene,,,
glutamte receptor 1,not_mapped,,failed/no_data,failed/no_data,gene,,,
elastse,not_mapped,,failed/no_data,failed/no_data,gene,,,
ubiqutin C,not_mapped,,failed/no_data,failed/no_data,gene,,,
nephrin protin,not_mapped,,failed/no_data,failed/no_data,gene,,,
dopmine transporter,not_mapped,,failed/no_data,failed/no_data,gene,,,
hypoxanthne phosphoribosyltransfrase,not_mapped,,failed/no_data,failed/no_data,gene,,,
spermidn synthase,not_mapped,,failed/no_data,failed/no_data,gene,,,
heat shock protien 90,not_mapped,,failed/no_data,failed/no_data,gene,,,
creatnine kinase M-type,not_mapped,,failed/no_data,failed/no_data,gene,,,
phosphatidylinositl 3-kinase,not_mapped,,failed/no_data,failed/no_data,gene,,,
histone lysin methyltranferase,not_mapped,,failed/no_data,failed/no_data,gene,,,
bradykinin receptar B2,not_mapped,,failed/no_data,failed/no_data,gene,,,
tyrosinase relatd protein 1,not_mapped,,failed/no_data,failed/no_data,gene,,,
angiotensin converting enyme,not_mapped,,failed/no_data,failed/no_data,gene,,,
catechol-O-methytransfrase,not_mapped,,failed/no_data,failed/no_data,gene,,,
superoxde dismutase 1,not_mapped,,failed/no_data,failed/no_data,gene,,,
prolactin receptar,not_mapped,,failed/no_data,failed/no_data,gene,,,
low density lipoportein receptor,not_mapped,,failed/no_data,failed/no_data,gene,,,
phosphoenolpyruvte carboxykinase,not_mapped,,failed/no_data,failed/no_data,gene,,,
aldose reductse,not_mapped,,failed/no_data,failed/no_data,gene,,,
vascular endothelal growth factor A,not_mapped,,failed/no_data,failed/no_data,gene,,,
neurotrophin 3,not_mapped,,failed/no_data,failed/no_data,gene,,,
gamma amino butyric acid receptar,not_mapped,,failed/no_data,failed/no_data,gene,,,
kallkrien-related peptidase 3,not_mapped,,failed/no_data,failed/no_data,gene,,,
deiodnase type 2,not_mapped,,failed/no_data,failed/no_data,gene,,,
brain derivd neurotrophic factor,not_mapped,,failed/no_data,failed/no_data,gene,,,
ferritin light chainn,not_mapped,,failed/no_data,failed/no_data,gene,,,
amyloid precusor protein,not_mapped,,failed/no_data,failed/no_data,gene,,,
somatosttin receptor 2,not_mapped,,failed/no_data,failed/no_data,gene,,,
monoamine oxiase A,not_mapped,,failed/no_data,failed/no_data,gene,,,
telomrase reverse transcripase,not_mapped,,failed/no_data,failed/no_data,gene,,,
B-cell lymphoma 2-like protein 11,not_mapped,,failed/no_data,failed/no_data,gene,,,
acid sphingomyelnase,not_mapped,,failed/no_data,failed/no_data,gene,,,
cytochome c oxidase subunit 1,not_mapped,,failed/no_data,failed/no_data,gene,,,
integrn beta 1,not_mapped,,failed/no_data,failed/no_data,gene,,,
glutathione peroxidse 4,not_mapped,,failed/no_data,failed/no_data,gene,,,
interferon regulatory factor 3,not_mapped,,failed/no_data,failed/no_data,gene,,,
keratn 18,not_mapped,,failed/no_data,failed/no_data,gene,,,
tumor suppressar PTEN,not_mapped,,failed/no_data,failed/no_data,gene,,,
signal transdcer and activator of transcription 1,not_mapped,,failed/no_data,failed/no_data,gene,,,
mannose-binding lectn,not_mapped,,failed/no_data,failed/no_data,gene,,,
DNA damage inducbl transcript 4,not_mapped,,failed/no_data,failed/no_data,gene,,,
protein kinase CAMP-activated,not_mapped,,failed/no_data,failed/no_data,gene,,,
glycogen phsphorylase,not_mapped,,failed/no_data,failed/no_data,gene,,,
arrestn beta 2,not_mapped,,failed/no_data,failed/no_data,gene,,,
pyruvte kinase M2,not_mapped,,failed/no_data,failed/no_data,gene,,,
dopamne beta hydroxylse,not_mapped,,failed/no_data,failed/no_data,gene,,,
zinc finger protin 36,not_mapped,,failed/no_data,failed/no_data,gene,,,
TNF receptor superfamily membr 1A,not_mapped,,failed/no_data,failed/no_data,gene,,,
follisttin,not_mapped,,failed/no_data,failed/no_data,gene,,,
collagen typ II alpha 1,not_mapped,,failed/no_data,failed/no_data,gene,,,
myosn light chain kinase,not_mapped,,failed/no_data,failed/no_data,gene,,,
tumor necrosis facor ligand superfamily member 10,not_mapped,,failed/no_data,failed/no_data,gene,,,
dual specificit phosphatase 6,not_mapped,,failed/no_data,failed/no_data,gene,,,
amyloid beta precurssor,not_mapped,,failed/no_data,failed/no_data,gene,,,
acetylchlinesterase,not_mapped,,failed/no_data,failed/no_data,gene,,,
dipeptdyl peptidase 4,not_mapped,,failed/no_data,failed/no_data,gene,,,
prohibtn,not_mapped,,failed/no_data,failed/no_data,gene,,,
beta-catenin interactng protein 1,not_mapped,,failed/no_data,failed/no_data,gene,,,
succinte dehydrogenase subunit B,not_mapped,,failed/no_data,failed/no_data,gene,,,
forkead box O3,not_mapped,,failed/no_data,failed/no_data,gene,,,
DNA methyltranferase 1,not_mapped,,failed/no_data,failed/no_data,gene,,,
histne H3.3,not_mapped,,failed/no_data,failed/no_data,gene,,,
lactate dehydrognase A,not_mapped,,failed/no_data,failed/no_data,gene,,,
growth differtiation factor 15,not_mapped,,failed/no_data,failed/no_data,gene,,,
cytokeratn 5,not_mapped,,failed/no_data,failed/no_data,gene,,,
complement C3b receptor 1,not_mapped,,failed/no_data,failed/no_data,gene,,,
sarcoplasmic retculum calcium ATPase 2,not_mapped,,failed/no_data,failed/no_data,gene,,,
urokinase plasminogn activator,not_mapped,,failed/no_data,failed/no_data,gene,,,
RNA polymerse II subunit A,not_mapped,,failed/no_data,failed/no_data,gene,,,
C-reactve protein,not_mapped,,failed/no_data,failed/no_data,gene,,,
CD44 antigen,not_mapped,,failed/no_data,failed/no_data,gene,,,
co1,not_mapped,,failed/no_data,failed/no_data,gene,,,
serotonin recptor 2A,not_mapped,,failed/no_data,failed/no_data,gene,,,
glucosse,,,failed/no_data,,chemical,failed/no_data,not_mapped,
adenosne triphoshate,,,failed/no_data,,chemical,failed/no_data,not_mapped,
cytossine,,,failed/no_data,,chemical,failed/no_data,not_mapped,
ureaa,,,failed/no_data,,chemical,failed/no_data,not_mapped,
cholstrerol,,,failed/no_data,,chemical,failed/no_data,not_mapped,
lipoprotien,,,failed/no_data,,chemical,failed/no_data,not_mapped,
sucros,,,failed/no_data,,chemical,failed/no_data,not_mapped,
aspratic acid,,,failed/no_data,,chemical,failed/no_data,not_mapped,
glycraldehyde,,,failed/no_data,,chemical,failed/no_data,not_mapped,
oxaloactetate,,,failed/no_data,,chemical,failed/no_data,not_mapped,
pyruvic acidd,,,failed/no_data,,chemical,failed/no_data,not_mapped,
cretnine,,,failed/no_data,,chemical,failed/no_data,not_mapped,
laactate,,,failed/no_data,,chemical,failed/no_data,not_mapped,
fructosse-6-phosphate,,,failed/no_data,,chemical,failed/no_data,not_mapped,
nicotnamide,,,failed/no_data,,chemical,failed/no_data,not_mapped,
ribos,,,failed/no_data,,chemical,failed/no_data,not_mapped,
phenyalalanine,,,failed/no_data,,chemical,failed/no_data,not_mapped,
hydrogen perxide,,,failed/no_data,,chemical,failed/no_data,not_mapped,
deoxyguanoine,,,failed/no_data,,chemical,failed/no_data,not_mapped,
ascorbbic acid,,,failed/no_data,,chemical,failed/no_data,not_mapped,
malonnate,,,failed/no_data,,chemical,failed/no_data,not_mapped,
citratee,,,failed/no_data,,chemical,failed/no_data,not_mapped,
glutathionne,,,failed/no_data,,chemical,failed/no_data,not_mapped,
methoinine,,,failed/no_data,,chemical,failed/no_data,not_mapped,
fumaratte,,,failed/no_data,,chemical,failed/no_data,not_mapped,
alpha-ketoglutaratte,,,failed/no_data,,chemical,failed/no_data,not_mapped,
aminoacettic acid,,,failed/no_data,,chemical,failed/no_data,not_mapped,
sernine,,,failed/no_data,,chemical,failed/no_data,not_mapped,
propeonic acid,,,failed/no_data,,chemical,failed/no_data,not_mapped,
carnittine,,,failed/no_data,,chemical,failed/no_data,not_mapped,
phosphoenolpyruate,,,failed/no_data,,chemical,failed/no_data,not_mapped,
ethanollamine,,,failed/no_data,,chemical,failed/no_data,not_mapped,
ribos-5-phospahe,,,failed/no_data,,chemical,failed/no_data,not_mapped,
