Gene,NCBI_Gene_ID,UniProt_ID,Ensembl_ID,HGNC_ID
SCO1,6341,O75880,ENSG00000133028,HGNC:10603
tumor protien p53,,,,
cycln dependent kinase 2,,,,
inslin receptor,,,,
epidrmal growth factor,,,,
myelin basic protien,,,,
hemogloben beta,,,,
actin gamma 1,,,,
glucose transprter 4,,,,
transfrrin,,,,
interluekin 6,,,,
keratin type I cytoskelton 10,,,,
fibronectn,,,,
tubulin alpha 1a,,,,
collgen type I alpha 1,,,,
G-protein coupled receptar 30,,,,
cytokrin inducible SH2-containing protein,,,,
calmodlin,,,,
caspase 3,,,,
ribosomal protin L5,,,,
metlloproteinase 9,,,,
tumor necrosis facor,,,,
tropomysoin alpha 3,,,,
aldhdehyde dehydrogenase 2,,,,
neurofilamnt heavy polypeptde,,,,
apolipoprtein E,,,,
glutamte receptor 1,,,,
elastse,,,,
ubiqutin C,,,,
nephrin protin,,,,
dopmine transporter,,,,
hypoxanthne phosphoribosyltransfrase,,,,
spermidn synthase,,,,
heat shock protien 90,,,,
creatnine kinase M-type,,,,
phosphatidylinositl 3-kinase,,,,
histone lysin methyltranferase,,,,
bradykinin receptar B2,,,,
tyrosinase relatd protein 1,,,,
angiotensin converting enyme,,,,
catechol-O-methytransfrase,,,,
superoxde dismutase 1,,,,
prolactin receptar,,,,
low density lipoportein receptor,,,,
phosphoenolpyruvte carboxykinase,,,,
aldose reductse,,,,
vascular endothelal growth factor A,,,,
neurotrophin 3,,,,
gamma amino butyric acid receptar,,,,
kallkrien-related peptidase 3,,,,
deiodnase type 2,,,,
brain derivd neurotrophic factor,,,,
ferritin light chainn,,,,
amyloid precusor protein,,,,
somatosttin receptor 2,,,,
monoamine oxiase A,,,,
telomrase reverse transcripase,,,,
B-cell lymphoma 2-like protein 11,,,,
acid sphingomyelnase,,,,
cytochome c oxidase subunit 1,,,,
integrn beta 1,,,,
glutathione peroxidse 4,,,,
interferon regulatory factor 3,,,,
keratn 18,,,,
tumor suppressar PTEN,,,,
signal transdcer and activator of transcription 1,,,,
mannose-binding lectn,,,,
DNA damage inducbl transcript 4,,,,
protein kinase CAMP-activated,,,,
glycogen phsphorylase,,,,
arrestn beta 2,,,,
pyruvte kinase M2,,,,
dopamne beta hydroxylse,,,,
zinc finger protin 36,,,,
TNF receptor superfamily membr 1A,,,,
follisttin,,,,
collagen typ II alpha 1,,,,
myosn light chain kinase,,,,
tumor necrosis facor ligand superfamily member 10,,,,
dual specificit phosphatase 6,,,,
amyloid beta precurssor,,,,
acetylchlinesterase,,,,
dipeptdyl peptidase 4,,,,
prohibtn,,,,
beta-catenin interactng protein 1,,,,
succinte dehydrogenase subunit B,,,,
forkead box O3,,,,
DNA methyltranferase 1,,,,
histne H3.3,,,,
lactate dehydrognase A,,,,
growth differtiation factor 15,,,,
cytokeratn 5,,,,
complement C3b receptor 1,,,,
sarcoplasmic retculum calcium ATPase 2,,,,
urokinase plasminogn activator,,,,
RNA polymerse II subunit A,,,,
C-reactve protein,,,,
CD44 antigen,,P16070,,
co1,,P00395,,
serotonin recptor 2A,,,,
